Profilo;D esterno [mm];Spessore [mm];Area acciaio [m2];Massa nominale [kg/m]
CHS 60.3 × 3.2;60.3;3.2;0.0005740318096639271;4.506149705861827
CHS 60.3 × 3.6;60.3;3.6;0.0006412618924507482;5.033905855738373
CHS 60.3 × 4;60.3;4.0;0.0007074866655884212;5.553770324869106
CHS 60.3 × 5;60.3;5.0;0.000868650368717578;6.818905394432987
CHS 60.3 × 6.3;60.3;6.3;0.0010687698207512474;8.389843092897292
CHS 60.3 × 8;60.3;8.0;0.0013144423662619694;10.31837257515646
CHS 76.1 × 3.2;76.1;3.2;0.0007328707342294269;5.753035263701001
CHS 76.1 × 3.6;76.1;3.6;0.0008199556825869358;6.436652108307446
CHS 76.1 × 4;76.1;4.0;0.0009060353212952966;7.112377272168079
CHS 76.1 × 5;76.1;5.0;0.0011168361883511706;8.76716407855669
CHS 76.1 × 6.3;76.1;6.3;0.0013814839534895752;10.844649034893166
CHS 76.1 × 8;76.1;8.0;0.001711539677675719;13.435586469754394
CHS 88.9 × 3.2;88.9;3.2;0.0008615503693204649;6.7631703991656495
CHS 88.9 × 3.6;88.9;3.6;0.0009647202720643534;7.573054135705174
CHS 88.9 × 4;88.9;4.0;0.0010668848651590945;8.37504619149889
CHS 88.9 × 5;88.9;5.0;0.0013178981181809174;10.345500227720201
CHS 88.9 × 6.3;88.9;6.3;0.0016348219850750565;12.833352582839193
CHS 88.9 × 8;88.9;8.0;0.002033238765403314;15.960924308416013
CHS 88.9 × 10;88.9;10.0;0.0024787166036823473;19.457925338906428
CHS 114.3 × 3.6;114.3;3.6;0.001251987504308604;9.828101908822541
CHS 114.3 × 4;114.3;4.0;0.0013860706787638157;10.880654828295953
CHS 114.3 × 5;114.3;5.0;0.0017168803851868209;13.477511023716543
CHS 114.3 × 6.3;114.3;6.3;0.0021375396415024947;16.779686185794585
CHS 114.3 × 8;114.3;8.0;0.0026716103926127596;20.972141582010163
CHS 114.3 × 10;114.3;10.0;0.0032766811376941543;25.72194693089911
CHS 139.7 × 3.6;139.7;3.6;0.0015392547365528557;12.083149681939917
CHS 139.7 × 4;139.7;4.0;0.001705256492368541;13.386263465093046
CHS 139.7 × 5;139.7;5.0;0.0021158626521927274;16.60952181971291
CHS 139.7 × 6.3;139.7;6.3;0.002640257297929933;20.726019788749973
CHS 139.7 × 8;139.7;8.0;0.0033099820198222046;25.983358855604305
CHS 168.3 × 5;168.3;5.0;0.002565110401656067;20.136116653000126
CHS 168.3 × 6.3;168.3;6.3;0.0032063094622537427;25.16952927869188
CHS 168.3 × 8;168.3;8.0;0.004028778418963555;31.625910588863906
CHS 168.3 × 10;168.3;10.0;0.00497314117063264;39.03915818946623
CHS 168.3 × 12.5;168.3;12.5;0.006118251692866121;48.02827578899905
CHS 193.7 × 5;193.7;5.0;0.002964092668661975;23.268127448996502
CHS 193.7 × 6.3;193.7;6.3;0.0037090271186811822;29.11586288164728
CHS 193.7 × 8;193.7;8.0;0.004667150046173002;36.637127862458065
CHS 193.7 × 10;193.7;10.0;0.005771105704644447;45.30317978145891
CHS 193.7 × 12.5;193.7;12.5;0.00711570736038088;55.85830277898991
CHS 193.7 × 14.2;193.7;14.2;0.008007605514735026;62.859703290669955
CHS 193.7 × 16;193.7;16.0;0.008932176232686499;70.11758342658901
CHS 219.1 × 5;219.1;5.0;0.0033630749356678745;26.400138244992814
CHS 219.1 × 6.3;219.1;6.3;0.004211744775108622;33.06219648460269
CHS 219.1 × 8;219.1;8.0;0.00530552167338244;41.64834513605215
CHS 219.1 × 10;219.1;10.0;0.006569070238656254;51.567201373451596
CHS 219.1 × 12.5;219.1;12.5;0.00811316302789564;63.68832976898078
CHS 219.1 × 14.2;219.1;14.2;0.009140715153031791;71.75461395129956
CHS 219.1 × 16;219.1;16.0;0.010208919487105391;80.14001797377732
CHS 244.5 × 5;244.5;5.0;0.003762057202673785;29.53214904098921
CHS 244.5 × 6.3;244.5;6.3;0.004714462431536062;37.008530087558086
CHS 244.5 × 8;244.5;8.0;0.005943893300591898;46.6595624096464
CHS 244.5 × 10;244.5;10.0;0.007367034772668065;57.831222965444304
CHS 244.5 × 12.5;244.5;12.5;0.009110618695410399;71.51835675897163
CHS 244.5 × 14.2;244.5;14.2;0.010273824791328564;80.64952461192922
CHS 244.5 × 16;244.5;16.0;0.011485662741524287;90.16245252096566
CHS 273 × 5;273.0;5.0;0.004209734155810325;33.04641312311105
CHS 273 × 6.3;273.0;6.3;0.005278535392488111;41.43650283103167
CHS 273 × 8;273.0;8.0;0.006660176425610374;52.282384941041435
CHS 273 × 10;273.0;10.0;0.008262388678941168;64.85975112968816
CHS 273 × 12.5;273.0;12.5;0.010229811078251765;80.30401696427636
CHS 273 × 14.2;273.0;14.2;0.01154522733823635;90.63003460515534
CHS 273 × 16;273.0;16.0;0.012918228991561233;101.40809758375568
CHS 273 × 17.5;273.0;17.5;0.014046846152363367;110.26774229605243
